                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.3835,                0.49588,                 1.2439,                0.99072,                0.98671,                0.99201,                0.60321,                 1.4353,                0.41198,                 1.3482,             9.3601e-05,             9.3601e-05,             9.3601e-05
                     66,                 1.3825,                0.49673,                 1.2476,                0.98785,                0.98671,                0.99247,                0.60632,                 1.4333,                0.41434,                 1.3511,             9.3501e-05,             9.3501e-05,             9.3501e-05
                     67,                 1.3689,                0.48634,                 1.2402,                0.99056,                0.98671,                0.99284,                0.60455,                 1.4376,                0.41616,                 1.3539,             9.3401e-05,             9.3401e-05,             9.3401e-05
                     68,                 1.3721,                0.49503,                 1.2477,                0.98166,                0.98339,                0.98917,                0.60702,                 1.4246,                0.40939,                 1.3466,             9.3301e-05,             9.3301e-05,             9.3301e-05
                     69,                 1.3809,                0.48543,                  1.236,                0.98831,                0.98277,                0.98874,                0.60677,                 1.4344,                 0.4112,                 1.3332,             9.3201e-05,             9.3201e-05,             9.3201e-05
                     70,                 1.3743,                0.48244,                  1.238,                0.99064,                0.98671,                0.99251,                0.60827,                 1.4323,                0.41091,                 1.3483,             9.3101e-05,             9.3101e-05,             9.3101e-05
                     71,                 1.3646,                0.48921,                 1.2411,                0.99166,                0.98722,                0.99278,                 0.6081,                 1.4336,                0.40685,                  1.366,             9.3001e-05,             9.3001e-05,             9.3001e-05
                     72,                 1.3653,                0.48352,                 1.2429,                0.98551,                0.98007,                0.98918,                0.60412,                 1.4292,                0.41194,                 1.3672,             9.2901e-05,             9.2901e-05,             9.2901e-05
                     73,                 1.3636,                 0.4872,                 1.2511,                0.99084,                0.98671,                0.99321,                0.60754,                 1.4227,                0.40476,                 1.3619,             9.2801e-05,             9.2801e-05,             9.2801e-05
                     74,                 1.3618,                0.48399,                 1.2465,                0.99077,                0.98671,                 0.9943,                 0.6075,                 1.4391,                0.40873,                 1.3453,             9.2701e-05,             9.2701e-05,             9.2701e-05
                     75,                 1.3653,                0.48016,                 1.2353,                   0.99,                0.98677,                0.99405,                0.60938,                  1.437,                0.40441,                 1.3548,             9.2601e-05,             9.2601e-05,             9.2601e-05
                     76,                 1.3968,                0.49411,                 1.2533,                   0.99,                0.98719,                0.99328,                 0.6085,                 1.4309,                0.40767,                 1.3632,             9.2501e-05,             9.2501e-05,             9.2501e-05
                     77,                 1.3633,                0.48165,                 1.2494,                0.98341,                 0.9846,                0.99277,                0.60808,                 1.4294,                0.40465,                  1.361,             9.2401e-05,             9.2401e-05,             9.2401e-05
